dataset,loss,stability,color,marker,loss_abs,stability_abs,loss_se,stability_se,loss_abs_se,stability_abs_se
California,1,1,#3776ab,baseline,0.371935189,0.257884517,0.017466232,0.019158856,0.006496306,0.004940772
California,0.983011118,0.900175217,#CC79A7,SL_{0.1},0.365616426,0.232141251,0.019188993,0.017139312,0.007137062,0.004419963
California,0.968011038,0.764325036,#CC79A7,SL_{0.25},0.360037369,0.197107593,0.020009791,0.020283072,0.007442345,0.00523069
California,0.960086182,0.612470534,#CC79A7,SL_{0.5},0.357089836,0.157946668,0.017720645,0.024991504,0.006590931,0.006444922
California,0.962086159,0.492319463,#CC79A7,SL_{0.75},0.357833698,0.126961567,0.018368898,0.025599356,0.00683204,0.006601678
California,0.964907598,0.443142332,#CC79A7,SL_{0.9},0.35888309,0.114279546,0.019937561,0.024887053,0.007415481,0.006417986
California,0.950298363,0.863925727,#F0E442,ABU,0.353449402,0.222793069,0.022952974,0.027003711,0.008537019,0.006963839
California,0.944081492,0.789884698,#F0E442,ABU_{0.1},0.351137129,0.203699034,0.020757849,0.023520241,0.007720575,0.006065506
California,0.944778571,0.698238561,#F0E442,ABU_{0.25},0.351396397,0.180064914,0.02162968,0.02789834,0.008044839,0.00719455
California,0.946455904,0.586983496,#F0E442,ABU_{0.5},0.352020256,0.151373955,0.021454596,0.027920529,0.007979719,0.007200272
California,0.953532002,0.506926201,#F0E442,ABU_{0.75},0.354652106,0.130728419,0.021608867,0.029367396,0.008037098,0.007573397
California,0.961588013,0.476892692,#F0E442,ABU_{0.9},0.35764842,0.122983242,0.0217753,0.031822889,0.008099,0.00820663
California,0.990578591,0.888745743,#E69F00,BABU,0.368431036,0.229193767,0.019154406,0.018123814,0.007124198,0.004673851
Boston,1,1,#3776ab,baseline,19.90061232,17.06027838,0.168946446,0.157788148,3.362137723,2.691909728
Boston,1.008527205,0.8744784,#CC79A7,SL_{0.1},20.07030891,14.91884495,0.169224998,0.146934006,3.367681081,2.506735053
Boston,1.001084339,0.721649937,#CC79A7,SL_{0.25},19.92219134,12.31154882,0.166950367,0.123363778,3.322414534,2.1046204
Boston,1.022466712,0.494177339,#CC79A7,SL_{0.5},20.34771365,8.430802973,0.173776089,0.104396993,3.458250586,1.781041759
Boston,1.007404118,0.389030995,#CC79A7,SL_{0.75},20.04795881,6.636977071,0.166670079,0.088828516,3.316836624,1.515439215
Boston,1.004254295,0.349270721,#CC79A7,SL_{0.9},19.98527539,5.958655736,0.165966617,0.083775612,3.302837305,1.429235267
Boston,0.958310188,0.745404164,#F0E442,ABU,19.07095954,12.71680255,0.169818116,0.134908205,3.379484496,2.301571529
Boston,0.990432724,0.659409152,#F0E442,ABU_{0.1},19.71021768,11.2497037,0.165926295,0.114233867,3.302034872,1.948861573
Boston,0.985362723,0.556555967,#F0E442,ABU_{0.25},19.60932154,9.494999735,0.168438778,0.108287569,3.352034826,1.847416072
Boston,0.988675941,0.469342723,#F0E442,ABU_{0.5},19.67525662,8.007117505,0.171516814,0.108046995,3.413289622,1.84331181
Boston,0.980775551,0.385002938,#F0E442,ABU_{0.75},19.51803401,6.568257304,0.166333903,0.08597859,3.310146521,1.466818676
Boston,1.005562535,0.334648052,#F0E442,ABU_{0.9},20.01131018,5.709188933,0.164244526,0.07900108,3.268566628,1.347780409
Boston,0.967126541,0.900775421,#E69F00,BABU,19.24641035,15.36747944,0.187307237,0.185649765,3.727528704,3.167236676
Carseats,1,1,#3776ab,baseline,6.217331505,3.436259665,0.068285631,0.105177599,0.424554407,0.361417542
Carseats,0.983642579,0.890568631,#CC79A7,SL_{0.1},6.115631998,3.060225065,0.063604213,0.087553822,0.39544848,0.300857667
Carseats,1.007243472,0.690704454,#CC79A7,SL_{0.25},6.262366573,2.373439855,0.065791097,0.069933273,0.409045059,0.240308884
Carseats,1.007933195,0.492163693,#CC79A7,SL_{0.5},6.266654809,1.691202245,0.073013269,0.07158374,0.453947695,0.24598032
Carseats,1.032623207,0.366247236,#CC79A7,SL_{0.75},6.420160798,1.258520605,0.067890825,0.066710758,0.422099766,0.229235488
Carseats,1.022602505,0.2787717,#CC79A7,SL_{0.9},6.35785877,0.957931947,0.070520889,0.044233479,0.438451745,0.151997721
Carseats,0.976315958,0.77920445,#F0E442,ABU,6.070079966,2.677548823,0.058730899,0.102588746,0.36514947,0.352521569
Carseats,0.997285709,0.679129089,#F0E442,ABU_{0.1},6.20045586,2.333663897,0.060618594,0.079850974,0.376885892,0.274388682
Carseats,1.032873982,0.534378035,#F0E442,ABU_{0.25},6.42171995,1.836261687,0.075007574,0.067657633,0.466346952,0.232489197
Carseats,1.018917407,0.382108445,#F0E442,ABU_{0.5},6.334947295,1.313023839,0.069846305,0.049049353,0.434257633,0.168546314
Carseats,1.012571507,0.281868878,#F0E442,ABU_{0.75},6.29549273,0.968574657,0.072133705,0.047273534,0.448479158,0.162444139
Carseats,1.009391962,0.236018388,#F0E442,ABU_{0.9},6.275724444,0.811020469,0.070679231,0.043610434,0.439436212,0.149856776
Carseats,0.987010251,0.878118466,#E69F00,BABU,6.136569931,3.017443065,0.070690785,0.104936969,0.439508045,0.360590675
College,1,1,#3776ab,baseline,0.055275666,0.044569103,0.069413635,0.084267681,0.003836885,0.003755735
College,1.017804688,0.843416563,#CC79A7,SL_{0.1},0.056259832,0.037590319,0.07235319,0.067251993,0.003999371,0.002997361
College,0.960001389,0.683594494,#CC79A7,SL_{0.25},0.053064716,0.030467193,0.070871847,0.063769248,0.003917489,0.002842138
College,0.946505876,0.537589056,#CC79A7,SL_{0.5},0.052318743,0.023959862,0.072207932,0.067334899,0.003991342,0.003001056
College,0.943017147,0.432911016,#CC79A7,SL_{0.75},0.052125901,0.019294456,0.070266476,0.058666258,0.003884026,0.002614702
College,0.958684961,0.35757209,#CC79A7,SL_{0.9},0.05299195,0.015936667,0.069292412,0.047122186,0.003830184,0.002100194
College,0.988738648,0.742194436,#F0E442,ABU,0.054653187,0.03307894,0.071504629,0.07397577,0.003952466,0.003297034
College,0.963442062,0.631712504,#F0E442,ABU_{0.1},0.053254902,0.02815486,0.071559403,0.070642332,0.003955494,0.003148465
College,0.942552695,0.534717177,#F0E442,ABU_{0.25},0.052100228,0.023831865,0.069748046,0.06734174,0.00385537,0.003001361
College,0.96436827,0.410645717,#F0E442,ABU_{0.5},0.053306099,0.018302111,0.072312346,0.054545539,0.003997113,0.002431046
College,0.987331416,0.329654304,#F0E442,ABU_{0.75},0.054575402,0.014692397,0.071458364,0.051046278,0.003949909,0.002275087
College,0.995612293,0.300689399,#F0E442,ABU_{0.9},0.055033133,0.013401457,0.071424801,0.051390321,0.003948053,0.002290421
College,1.058966606,0.825070697,#E69F00,BABU,0.058535085,0.036772661,0.078514616,0.073983235,0.004339948,0.003297366
Hitters,1,1,#3776ab,baseline,0.279495413,0.164250166,0.118383129,0.128647916,0.033087541,0.021130442
Hitters,1.00725041,0.859890704,#CC79A7,SL_{0.1},0.281521869,0.141237191,0.134062644,0.121097084,0.037469894,0.019890216
Hitters,0.972169518,0.771461651,#CC79A7,SL_{0.25},0.271716921,0.126712704,0.140774886,0.119415459,0.039345935,0.019614009
Hitters,0.97213452,0.578552688,#CC79A7,SL_{0.5},0.271707139,0.095027375,0.137731207,0.10011698,0.038495241,0.016444231
Hitters,0.965173468,0.419859962,#CC79A7,SL_{0.75},0.269761557,0.068962069,0.141883265,0.078714319,0.039655722,0.01292884
Hitters,0.988517854,0.359679518,#CC79A7,SL_{0.9},0.276286206,0.059077421,0.142870557,0.068266404,0.039931665,0.011212768
Hitters,1.036318686,0.786378165,#F0E442,ABU,0.289646319,0.129162744,0.130742314,0.117822247,0.036541877,0.019352324
Hitters,1.001673955,0.707983658,#F0E442,ABU_{0.1},0.279963276,0.116286434,0.13062564,0.104757258,0.036509267,0.017206397
Hitters,0.991855008,0.558985537,#F0E442,ABU_{0.25},0.277218925,0.091813467,0.138966893,0.082319992,0.038840609,0.013521072
Hitters,0.982865804,0.432222584,#F0E442,ABU_{0.5},0.274706484,0.070992631,0.148587424,0.076404662,0.041529503,0.012549478
Hitters,0.977988548,0.349201966,#F0E442,ABU_{0.75},0.273343313,0.057356481,0.141051746,0.062669231,0.039423316,0.010293432
Hitters,0.997589016,0.294927716,#F0E442,ABU_{0.9},0.278821554,0.048441926,0.138760309,0.0576115,0.03878287,0.009462698
Hitters,1.000753075,0.89063179,#E69F00,BABU,0.279705894,0.14628642,0.139893434,0.148981985,0.039099573,0.024470316
Wage,1,1,#3776ab,baseline,0.088584499,0.009155699,0.044799407,0.080734498,0.003968533,0.000739181
Wage,0.997482685,0.819058437,#CC79A7,SL_{0.1},0.088361504,0.007499053,0.044560119,0.064131967,0.003947336,0.000587173
Wage,0.994682447,0.58514115,#CC79A7,SL_{0.25},0.088113446,0.005357376,0.044159807,0.050836252,0.003911874,0.000465441
Wage,0.993507354,0.382503092,#CC79A7,SL_{0.5},0.088009351,0.003502083,0.044396052,0.042576171,0.003932802,0.000389815
Wage,0.99367787,0.269540165,#CC79A7,SL_{0.75},0.088024456,0.002467829,0.044184189,0.031545802,0.003914034,0.000288824
Wage,0.993958478,0.218605935,#CC79A7,SL_{0.9},0.088049314,0.00200149,0.044431276,0.022165346,0.003935922,0.000202939
Wage,0.994630642,0.701653119,#F0E442,ABU,0.088108857,0.006424125,0.044541118,0.05726639,0.003945653,0.000524314
Wage,0.995447048,0.565011865,#F0E442,ABU_{0.1},0.088181178,0.005173079,0.044367751,0.0501301,0.003930295,0.000458976
Wage,0.994186222,0.436776498,#F0E442,ABU_{0.25},0.088069488,0.003998994,0.04455692,0.04375578,0.003947052,0.000400615
Wage,0.992996329,0.291610249,#F0E442,ABU_{0.5},0.087964082,0.002669896,0.044565045,0.027795718,0.003947772,0.000254489
Wage,0.993934619,0.216237685,#F0E442,ABU_{0.75},0.0880472,0.001979807,0.044778016,0.022146679,0.003966638,0.000202768
Wage,0.994385329,0.191402684,#F0E442,ABU_{0.9},0.088087126,0.001752425,0.044854508,0.021623815,0.003973414,0.000197981
Wage,0.993162056,0.743686955,#E69F00,BABU,0.087978763,0.006808974,0.043853026,0.068281237,0.003884698,0.000625162
